ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Comments,Parameter Snapshot
1383912,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383914,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383916,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383918,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383920,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383922,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383924,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383926,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383928,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","7' - 8 1/4""",35 SF,2.93 CF,,,Glass,,,,,,,"Area=35 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.93 CF | Width=4' - 6 27/32"""
1383930,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 5 19/32""","0' - 1""","7' - 8 1/4""",34 SF,2.86 CF,,,Glass,,,,,,,"Area=34 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=7' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.86 CF | Width=4' - 5 19/32"""
1383938,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 5 19/32""","0' - 1""","3' - 8 1/4""",16 SF,1.37 CF,,,Glass,,,,,,,"Area=16 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.37 CF | Width=4' - 5 19/32"""
1383939,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383940,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383941,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383942,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383943,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383944,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383945,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383946,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383947,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383948,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 27/32""","0' - 1""","3' - 8 1/4""",17 SF,1.40 CF,,,Glass,,,,,,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.40 CF | Width=4' - 6 27/32"""
1383949,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 5 19/32""","0' - 1""","3' - 8 1/4""",16 SF,1.37 CF,,,Glass,,,,,,,"Area=16 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.37 CF | Width=4' - 5 19/32"""
1383979,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 5 19/32""",,"0' - 5""","0' - 5""",3 SF,0.39 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 5 19/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.39 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383980,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383981,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383982,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383983,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383984,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383985,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383986,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383987,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383988,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383989,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383993,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383994,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383995,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383996,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383997,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383998,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1383999,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1384000,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1384001,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1384002,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 6 27/32""",,"0' - 5""","0' - 5""",3 SF,0.40 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 6 27/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.40 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1384003,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 5 19/32""",,"0' - 5""","0' - 5""",3 SF,0.39 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 5 19/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.39 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1384007,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 0""",,"0' - 5""","0' - 5""",3 SF,0.35 CF,,,Aluminum,,,,,,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.35 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
